Knight's Quest ,Taito Software,01/07/1992,Game Boy
Double Dragon III: The Arcade Game,Acclaim,01/08/1992,Game Boy
Spider-Man 2,LJN,01/08/1992,Game Boy
WWF Superstars 2: Steel Cage Challenge,LJN,01/08/1992,Game Boy
Kirby's Dream Land,Nintendo,01/08/1992,Game Boy
Ferrari Grand Prix Challenge,Acclaim,01/09/1992,Game Boy
George Foreman's KO Boxing,Acclaim,01/09/1992,Game Boy
"Simpsons: Bart vs. the Juggernauts, The",Acclaim,01/09/1992,Game Boy
Toxic Crusaders,Bandai,01/09/1992,Game Boy
4-in-1 Funpak: Volume 1,Interplay,01/09/1992,Game Boy
Word Zap,Jaleco,01/09/1992,Game Boy
Spy vs. Spy: Operation Booby Trap,Kemco,01/09/1992,Game Boy
Track & Field,Konami,01/09/1992,Game Boy
Roger Clemens' MVP Baseball,LJN,01/09/1992,Game Boy
Dig Dug,Namco,01/09/1992,Game Boy
Ninja Taro American,Sammy,01/09/1992,Game Boy
Mouse Trap Hotel,Milton Bradley,01/10/1992,Game Boy
Bionic Commando,Capcom,01/10/1992,Game Boy
Lazlo's Leap,DTMC,01/10/1992,Game Boy
Out of Gas,FCI,01/10/1992,Game Boy
Barbie Game Girl,Hi-Tech,01/10/1992,Game Boy
Tom & Jerry,Hi-Tech,01/10/1992,Game Boy
Miner 2049er,Mindscape,01/10/1992,Game Boy
Speedball II,Mindscape,01/10/1992,Game Boy
Xenon 2,Mindscape,01/10/1992,Game Boy
Rolan's Curse II American,Sammy,01/10/1992,Game Boy
Hit the Ice ,Taito Software,01/10/1992,Game Boy
"Jetsons: Robot Panic, The ",Taito Software,01/10/1992,Game Boy
Looney Tunes,Sunsoft,01/10/1992,Game Boy
Home Alone II: Lost in New York,THQ,01/10/1992,Game Boy
Rocky and Bullwinkle,THQ,01/10/1992,Game Boy
Swamp Thing,THQ,01/10/1992,Game Boy
Bionic Battler,Electro Brain,01/11/1992,Game Boy
Kingdom Crusade,Electro Brain,01/11/1992,Game Boy
